fileName; characters_first_document; characters_removed; characters_added; characters_modified; modified
obstetricia1_3_comparacao.txt;34699;749;3099;3848;11,09%
obstetricia1_4_comparacao.txt;7435;174;289;463;6,23%
obstetricia1_1_comparacao.txt;15142;199;945;1144;7,56%
obstetricia1_2_comparacao.txt;19954;349;535;884;4,43%
obstetricia1_5_comparacao.txt;11701;172;53;225;1,92%
obstetricia1_7_comparacao.txt;30959;291;987;1278;4,13%
obstetricia1_8_comparacao.txt;18401;436;974;1410;7,66%
obstetricia1_6_comparacao.txt;31882;1062;22099;23161;72,65%
obstetricia1_9_comparacao.txt;24724;748;2267;3015;12,19%
