fileName; characters_first_document; characters_removed; characters_added; characters_modified; modified
cardio1_1_comparacao.txt;23122;3318;3511;6829;29,53%
cardio1_2_comparacao.txt;33980;3202;12489;15691;46,18%
cardio1_3_comparacao.txt;26747;1613;2883;4496;16,81%
cardio1_4_comparacao.txt;24384;169;938;1107;4,54%
cardio1_5_comparacao.txt;36670;403;1091;1494;4,07%
cardio1_6_comparacao.txt;14983;67;361;428;2,86%
cardio1_8_comparacao.txt;23456;431;1435;1866;7,96%
cardio1_7_comparacao.txt;40744;879;4038;4917;12,07%
cardio1_9_comparacao.txt;47172;2904;8157;11061;23,45%
