fileName; characters_first_document; characters_removed; characters_added; characters_modified; modified
pediatria4_1_comparacao.txt;117388;4310;3458;7768;6,62%
pediatria4_2_comparacao.txt;8004;33;144;177;2,21%
pediatria4_3_comparacao.txt;33163;128;513;641;1,93%
pediatria4_4_comparacao.txt;37221;211;465;676;1,82%
pediatria4_5_comparacao.txt;47118;8465;34160;42625;90,46%
pediatria4_6_comparacao.txt;60980;11427;12102;23529;38,58%
